Input name	RefMet name	Formula	Mass	REGNO
PC(O-38:1)	PC(P-38:0)/PC(O-38:1)	C46H92NO7P	801.6611	
PE 34:2	PE(34:2)	C39H74NO8P	715.5152	
PE 36:0	PE(36:0)	C41H82NO8P	747.5778	
PE 36:1	PE(36:1)	C41H80NO8P	745.5622	
PE 36:2	PE(36:2)	C41H78NO8P	743.5465	
PE 36:3	PE(36:3)	C41H76NO8P	741.5309	
PE 36:3	PE(36:3)	C41H76NO8P	741.5309	
PE 36:4	PE(36:4)	C41H74NO8P	739.5152	
PE 36:5	PE(36:5)	C41H72NO8P	737.4996	
PE 38:4	PE(38:4)	C43H78NO8P	767.5465	
PE 38:5	PE(38:5)	C43H76NO8P	765.5309	
PE 38:6	PE(38:6)	C43H74NO8P	763.5152	
PE(34:1)	PE(34:1)	C39H76NO8P	717.5309	
PE(40:6)	PE(40:6)	C45H78NO8P	791.5465	
PI(34:1)	PI(34:1)	C43H81O13P	836.5415	
PI(36:2)	PI(36:2)	C45H83O13P	862.5571	
PI(36:3)	PI(36:3)	C45H81O13P	860.5415	
PI(36:4)	PI(36:4)	C45H79O13P	858.5258	
PI(38:3)	PI(38:3)	C47H85O13P	888.5728	
PI(38:4)	PI(38:4)	C47H83O13P	886.5571	
PI(38:5)	PI(38:5)	C47H81O13P	884.5415	
PS(36:2)	PS(36:2)	C42H78NO10P	787.536337	
PS(40:4)	PS(40:4)	C46H82NO10P	839.567637	
SM 21:0	SM(d18:1/21:0)	C44H89N2O6P	772.6458	30780
SM 21:1				
SM 29:1				
SM 30:0	SM(d30:0)	C35H73N2O6P	648.5206	
SM 30:1	SM(d30:1)	C35H71N2O6P	646.5050	
SM 30:1	SM(d30:1)	C35H71N2O6P	646.5050	
SM 31:1	SM(d31:1)	C36H73N2O6P	660.5206	
SM 32:0	SM(d32:0)	C37H77N2O6P	676.5519	
SM 32:1	SM(d32:1)	C37H75N2O6P	674.5363	
SM 32:1	SM(d32:1)	C37H75N2O6P	674.5363	
SM 32:2	SM(d32:2)	C37H73N2O6P	672.5206	
SM 32:2	SM(d32:2)	C37H73N2O6P	672.5206	
SM 33:0	SM(d33:0)	C38H79N2O6P	690.5676	
SM 33:1	SM(d33:1)	C38H77N2O6P	688.5519	
SM 33:1	SM(d33:1)	C38H77N2O6P	688.5519	
SM 33:2	SM(d33:2)	C38H75N2O6P	686.5363	
SM 34:1	SM(d34:1)	C39H79N2O6P	702.5676	
